path	kind	status	note
GDD/AGENTS.md	guide	K-guide	프로젝트 작업 지침; 공개 문서 입력 제외
GDD/Asset-Pipeline.md	source	E	새 전투·아트 계약 영향 문서
GDD/Design-Requirements.md	source	E	새 전투·아트 계약 영향 문서
GDD/Development-Roadmap.md	source	E	새 전투·아트 계약 영향 문서
GDD/Game-References.md	source	E	새 전투·아트 계약 영향 문서
GDD/Game-Thesis.md	source	E	새 전투·아트 계약 영향 문서
GDD/Home.md	source	E	새 전투·아트 계약 영향 문서
GDD/Online-User-Journey.md	source	E	새 전투·아트 계약 영향 문서
GDD/Research-Sources.md	source	K	전수 검토 완료; 이번 방향 전환에 사실 변경 없음
GDD/Ui-Implementation-Pipeline.md	source	E	새 전투·아트 계약 영향 문서
GDD/Unofficial-Fan-AU-Notice.md	source	K	전수 검토 완료; 이번 방향 전환에 사실 변경 없음
GDD/adr/ADR-001-repository-delivery-policy.md	history	K-history	결정·제안·제출 원본 사실 보존
GDD/adr/ADR-002-character-candidate-retrospective.md	history	K-history	결정·제안·제출 원본 사실 보존
GDD/adr/ADR-003-real-place-and-station-naming.md	history	K-history	결정·제안·제출 원본 사실 보존
GDD/adr/ADR-004-root-domain-structure.md	history	K-history	결정·제안·제출 원본 사실 보존
GDD/adr/ADR-005-backend-host-session-multiplayer.md	history	K-history	결정·제안·제출 원본 사실 보존
GDD/adr/ADR-006-backend-aspnet-core-coordinator.md	history	K-history	결정·제안·제출 원본 사실 보존
GDD/design-store/AGENTS.md	generated	K-generated	설계 저장소 생성물; 입력 정본으로 재생성
GDD/design-store/battle/index.html	generated	K-generated	설계 저장소 생성물; 입력 정본으로 재생성
GDD/design-store/campaign-loop/index.html	generated	K-generated	설계 저장소 생성물; 입력 정본으로 재생성
GDD/design-store/campaign-progression/index.html	generated	K-generated	설계 저장소 생성물; 입력 정본으로 재생성
GDD/design-store/canon/_sidebar/index.html	generated	K-generated	설계 저장소 생성물; 입력 정본으로 재생성
GDD/design-store/canon/_template/index.html	generated	K-generated	설계 저장소 생성물; 입력 정본으로 재생성
GDD/design-store/canon/ambitions-and-relations/index.html	generated	K-generated	설계 저장소 생성물; 입력 정본으로 재생성
